Product	MinQty	MaxQty	Color1Price	Color2Price	Color3Price	Color4Price	Color5Price	Color6Price	ColorFullPrice	ImageURL
Organic T-Shirt	0	49								https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	50	99	5.91	6.25	6.56				12.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	100	249	5.42	5.65	5.85				9.72	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	250	499	5.17	5.37	5.56				7.15	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	500	999	5.03	5.18	5.32				7.15	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	1000	1999	4.87	5.07	5.19				7.15	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	2000	4999	4.79	4.86	4.92				7.15	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
Organic T-Shirt	5000	999999	4.76	4.83	4.9				7.15	https://github.com/jon-jon-101/custom-quote-form/blob/main/t-shirt-oat.png?raw=true
										
Organic Hoodie	0	49								https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	50	99	16.66	17.00	17.31				24.57	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	100	249	16.17	16.40	16.60				19.44	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	250	499	15.92	16.12	16.31				14.30	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	500	999	15.78	15.93	16.07				14.30	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	1000	1999	15.62	15.82	15.94				14.30	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	2000	4999	15.54	15.61	15.67				14.30	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
Organic Hoodie	5000	999999	15.51	15.58	15.65				14.30	https://github.com/jon-jon-101/custom-quote-form/blob/main/hoodie-stone.png?raw=true
										
Organic Sweatshirt	0	49								https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	50	99	14.51	14.85	15.16				21.50	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	100	249	14.02	14.25	14.45				17.01	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	250	499	13.77	13.97	14.16				12.51	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	500	999	13.63	13.78	13.92				12.51	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	1000	1999	13.47	13.67	13.79				12.51	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	2000	4999	13.39	13.46	13.52				12.51	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
Organic Sweatshirt	5000	999999	13.36	13.43	13.50				12.51	https://github.com/jon-jon-101/custom-quote-form/blob/main/sweatshirt-navy.png?raw=true
										
Organic Tote Bag	0	49								https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	50	99	3.73	4.07	4.38				7.37	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	100	249	3.24	3.47	3.67				5.83	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	250	499	2.99	3.19	3.38				4.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	500	999	2.85	3.00	3.14				4.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	1000	1999	2.69	2.89	3.01				4.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	2000	4999	2.61	2.68	2.74				4.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
Organic Tote Bag	5000	999999	2.58	2.65	2.72				4.29	https://github.com/jon-jon-101/custom-quote-form/blob/main/tote-natural.png?raw=true
